CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
04-01-0001-42;04-028;CHIMALTENANGO;CHIMALTENANGO;LICEO NUEVA GENERACION;1RA. AV. 4-52 ZONA 4;78392827;MARILENA HERNANDEZ CABRERA;LESLIE IVETTE SANCHEZ VASQUEZ;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0001-43;04-028;CHIMALTENANGO;CHIMALTENANGO;LICEO NUEVA GENERACION;1RA. AV. 4-52 ZONA 4;78392827;MARILENA HERNANDEZ CABRERA;LESLIE IVETTE SANCHEZ VASQUEZ;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0002-41;04-003;CHIMALTENANGO;CHIMALTENANGO;COPB ANEXA A EORM;ALDEA CERRO ALTO;57527774;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PREPRIMARIA BILINGUE;OFICIAL;RURAL;ABIERTA;BILINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0003-41;04-003;CHIMALTENANGO;CHIMALTENANGO;COPB ANEXA A EORM;ALDEA CIENAGA GRANDE;;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PREPRIMARIA BILINGUE;OFICIAL;RURAL;CERRADA TEMPORALMENTE;BILINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0004-42;04-027;CHIMALTENANGO;CHIMALTENANGO;EODP RAMONA GIL;1RA. AVENIDA 1-36, ZONA 4;;JULIO ANTONIO MUTZUTZ CATU;-;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0005-42;04-001;CHIMALTENANGO;CHIMALTENANGO;LICEO CHIMALTECO 'ALICIA GONZALEZ GIRON';5A. AVENIDA 1-82 ZONA 4;78391532;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;-;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0006-42;04-020;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO EVANGÉLICO AMÉRICA LATINA;6A. AVENIDA 3-48 ZONA 5;77282600;SANDRA NINETH LOPEZ GUTIERREZ;AXEL EDUARDO ESTRADA CHÁVEZ;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0007-42;04-002;CHIMALTENANGO;CHIMALTENANGO;CENTRO EDUCATIVO PARROQUIAL MONSEÑOR 'ANGELICO MELOTTO';KM. 56.5 CARRETERA PANAMERICANA ALDEA BUENA VISTA;78394573;MILDRED BRICEL RIVAS SIQUIN;-;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0009-42;04-001;CHIMALTENANGO;CHIMALTENANGO;COLEGIO EVANGELICO MIXTO AMERICA;6A. AV. 2-17 ZONA 4;78391123;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;JAVIER SÁNCHEZ;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0010-42;04-027;CHIMALTENANGO;CHIMALTENANGO;EODP;1A. AVENIDA ENTRE 1A. Y 2A. CALLE ZONA 3;30072481;JULIO ANTONIO MUTZUTZ CATU;-;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0011-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA CERRO ALTO;57527774;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0012-43;04-002;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA SAN MARCOS PACOC;42421590;MILDRED BRICEL RIVAS SIQUIN;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0013-43;04-002;CHIMALTENANGO;CHIMALTENANGO;EORM;KM. 57, CARRETERA INTERAMERICANA ALDEA BUENA VISTA;41525352;MILDRED BRICEL RIVAS SIQUIN;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0014-43;04-002;CHIMALTENANGO;CHIMALTENANGO;EORM EUGENIA MARIA DE HOSTOS;COLONIA SAN MARCOS PUERTO RICO;59815631;MILDRED BRICEL RIVAS SIQUIN;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0015-43;04-002;CHIMALTENANGO;CHIMALTENANGO;EORM;KM. 60 CARRETERA INTERAMERICANA ALDEA HIERBA BUENA;;MILDRED BRICEL RIVAS SIQUIN;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0016-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA SAN JACINTO;52513511;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0017-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA TONAJUYU DEL CENTRO;;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;BILINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0018-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA CIENAGA GRANDE;51110442;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0019-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;CASERIO EL ROSARIO ALDEA CIENAGA GRANDE;;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0020-42;04-028;CHIMALTENANGO;CHIMALTENANGO;EODP ANEXA A EORM DE APLICACION CENTRO AMERICA;1A. AVENIDA 1-251 LA ALAMEDA ZONA 9;49733497;MARILENA HERNANDEZ CABRERA;ANA LUISA ALVEÑO OLIVA DE JEREZ;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0020-43;04-028;CHIMALTENANGO;CHIMALTENANGO;EORM DE APLICACION CENTRO AMERICA;"6A. AVENIDA 14-376, ZONA 1, LA ALAMEDA, SECTOR ""A""";78391337;MARILENA HERNANDEZ CABRERA;FRANCISCO QUIÑONEZ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0021-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA SANTA ISABEL;;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0023-43;04-002;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA MONTE DE LOS OLIVOS;42871840;MILDRED BRICEL RIVAS SIQUIN;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0024-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA EL DURAZNO;41506821;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0025-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EORM;ALDEA BOLA DE ORO;;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0026-43;04-028;CHIMALTENANGO;CHIMALTENANGO;EOUM CANTON EL CALVARIO;8A. CALLE 4-55 ZONA 1 QUINTAS LOS APOSENTOS I;78392821;MARILENA HERNANDEZ CABRERA;.;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0027-43;04-003;CHIMALTENANGO;CHIMALTENANGO;EOUM JOSE JOAQUIN PARDO GALLARDO;7A. AVENIDA 3-15 ZONA 2;78393580;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0028-43;04-001;CHIMALTENANGO;CHIMALTENANGO;EOUM TIPO FEDERACION MIGUEL HIDALGO Y COSTILLA;1A. CALLE 10-57 ZONA 3;78395385;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;MARCO VINICIO MORALES;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0029-43;04-001;CHIMALTENANGO;CHIMALTENANGO;EOUM TIPO FEDERACION 'MIGUEL HIDALGO Y COSTILLA';1A. CALLE 10-57 ZONA 3;78392235;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;-;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0030-43;04-027;CHIMALTENANGO;CHIMALTENANGO;EOUM 'CANTON LA CRUZ';3A. AVENIDA Y 4A. CALLE ESQUINA ZONA 2;78394408;JULIO ANTONIO MUTZUTZ CATU;-;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0031-43;04-020;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO EVANGÉLICO AMÉRICA LATINA;6A. AVENIDA 3-48 ZONA 5;77282600;SANDRA NINETH LOPEZ GUTIERREZ;AXEL EDUARDO ESTRADA CHÁVEZ;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0032-43;04-001;CHIMALTENANGO;CHIMALTENANGO;COLEGIO MIXTO 'SANTA ANA';2A. CALLE 5-40 ZONA 4;78391533;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;-;PRIMARIA;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0033-43;04-002;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""MARÍA INMACULADA""";DIAGONAL 1, 7-131 ZONA 8, ALDEA BUENA VISTA;78391591;MILDRED BRICEL RIVAS SIQUIN;MARÍA CARMEN MARCELINA MARTÍNEZ OLARTE;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0034-43;04-001;CHIMALTENANGO;CHIMALTENANGO;LICEO CHIMALTECO 'ALICIA GONZALEZ GIRON';5A. AVENIDA 1-82 ZONA 4;;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;-;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0035-43;04-027;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""";4A. AVENIDA 2-95 ZONA 3;78393574;JULIO ANTONIO MUTZUTZ CATU;IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0036-43;04-001;CHIMALTENANGO;CHIMALTENANGO;COLEGIO EVANGELICO MIXTO AMERICA;6A. AV. 2-17 ZONA 4;;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;JAVIER SÁNCHEZ;PRIMARIA;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0037-43;04-002;CHIMALTENANGO;CHIMALTENANGO;EPUM CENTRO EDUCATIVO PARROQUIAL MONSEÑOR 'ANGELICO MELOTTO';KM 56.5, CARRETERA PANAMERICANA;78394573;MILDRED BRICEL RIVAS SIQUIN;-;PRIMARIA;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0038-43;04-003;CHIMALTENANGO;CHIMALTENANGO;CENTRO EDUCATIVO CON ORIENTACION VOCACIONAL Y OCUPACIONAL 'POP WUJ';KM. 52.5 ATRAS COLONIA QUINTAS LAS VICTORIAS;78393245-78393246;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;-;PRIMARIA;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0040-44;04-001;CHIMALTENANGO;CHIMALTENANGO;ESCUELA OFICIAL PARA ADULTOS;1A. CALLE 10-57 ZONA 3;78396907;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;-;PRIMARIA DE ADULTOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0041-44;04-027;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""";4A. AVENIDA 2-95 ZONA 3;78393574;JULIO ANTONIO MUTZUTZ CATU;IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY;PRIMARIA DE ADULTOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0042-44;04-001;CHIMALTENANGO;CHIMALTENANGO;EPPA COLEGIO 'AMERICA';CHIMALTENANGO;;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;JAVIER SÁNCHEZ;PRIMARIA DE ADULTOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0043-44;04-020;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO EVANGÉLICO AMÉRICA LATINA;6A. AVENIDA 3-48 ZONA 5;78391414;SANDRA NINETH LOPEZ GUTIERREZ;AXEL EDUARDO ESTRADA CHÁVEZ;PRIMARIA DE ADULTOS;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0044-45;04-028;CHIMALTENANGO;CHIMALTENANGO;INEB ADSCRITA A ESCUELA NORMAL RURAL NO.1 PEDRO MOLINA;FINCA LA ALAMEDA;78399935;MARILENA HERNANDEZ CABRERA;-;BASICO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0044-46;04-028;CHIMALTENANGO;CHIMALTENANGO;"ESCUELA NORMAL RURAL NO. 1 ""PEDRO MOLINA""";FINCA LA ALAMEDA;78391365;MARILENA HERNANDEZ CABRERA;-;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);CHIMALTENANGO
04-01-0045-45;04-003;CHIMALTENANGO;CHIMALTENANGO;IEBC;ALDEA BOLA DE ORO;41444505;AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES;;BASICO;COOPERATIVA;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0046-45;04-002;CHIMALTENANGO;CHIMALTENANGO;CENTRO EDUCATIVO PARROQUIAL MONSEÑOR 'ANGELICO MELOTTO';KM. 56.5 CARRETERA PANAMERICANA;78394573;MILDRED BRICEL RIVAS SIQUIN;.;BASICO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0047-45;04-001;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION MEDIA BASICA CON ORIENTACION OCUPACIONAL LEONIDAS MENCOS AVILA;1A. CALLE 9-30 ZONA 3;78391353;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;MIGUEL ANGEL FRANCISCO JUAREZ PEREZ;BASICO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0048-45;04-002;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""MARÍA INMACULADA""";DIAGONAL 1, 7-131 ZONA 8, ALDEA BUENA VISTA;78391591;MILDRED BRICEL RIVAS SIQUIN;MARÍA CARMEN MARCELINA MARTINEZ OLARTE;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0049-45;04-027;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""";4A. AVENIDA 2-95 ZONA 3;78393574;JULIO ANTONIO MUTZUTZ CATU;IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY;BASICO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0051-45;04-001;CHIMALTENANGO;CHIMALTENANGO;COLEGIO 'SANTA ANA';2A. CALLE 5-40 ZONA 4;78391533;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;MAURO FIGUEROA;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0051-46;04-001;CHIMALTENANGO;CHIMALTENANGO;INST. PRIVADO MIXTO DE EDUC. DIVERSIFICADA COLEGIO 'SANTA ANA';2A. CALLE 5-52 ZONA 4;78391533;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;MAURO FIGUEROA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0052-45;04-028;CHIMALTENANGO;CHIMALTENANGO;LICEO NUEVA GENERACION;1RA. AV. 4-52 ZONA 4;78392827;MARILENA HERNANDEZ CABRERA;LESLIE IVETTE SANCHEZ VASQUEZ;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0053-45;04-027;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""";4A. AVENIDA 2-95 ZONA 3;78393574;JULIO ANTONIO MUTZUTZ CATU;IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0053-46;04-027;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""";4A. AVENIDA 2-95 ZONA 3;78393574;JULIO ANTONIO MUTZUTZ CATU;IRMA ARACELI MENDOZA ALCÚ VIUDA DE SAY;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0054-45;04-001;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO CRISTIANO ""EL CASTILLO""";3A. CALLE 3-13 ZONA 3, COLONIA SAN JOSÉ LAS FLORES;58271337;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;WENDY ARACELY ESTRADA MENDEZ;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0055-45;04-020;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO EVANGÉLICO AMÉRICA LATINA;6A. AVENIDA 3-48 ZONA 5;77282600;SANDRA NINETH LOPEZ GUTIERREZ;AXEL EDUARDO ESTRADA CHÁVEZ;BASICO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0055-46;04-020;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO EVANGÉLICO AMÉRICA LATINA;6A. AVENIDA 3-48 ZONA 5;77282600;SANDRA NINETH LOPEZ GUTIERREZ;AXEL EDUARDO ESTRADA CHAVEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0056-45;04-002;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO MIXTO DE EDUCACION BASICA MUNICIPAL;ALDEA BUENA VISTA;78394096;MILDRED BRICEL RIVAS SIQUIN;MARINA RIVERA MONTUFAR DE RIVAS;BASICO;MUNICIPAL;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0057-45;04-001;CHIMALTENANGO;CHIMALTENANGO;COLEGIO EVANGELICO AMERICA;6A AV. 2-17 ZONA 4;78391123;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;JAVIER SÁNCHEZ;BASICO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0057-46;04-001;CHIMALTENANGO;CHIMALTENANGO;COLEGIO EVANGELICO MIXTO AMERICA;1A CALLE 7-160 ZONA 4;78391123;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;JAVIER SÁNCHEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
04-01-0058-46;04-001;CHIMALTENANGO;CHIMALTENANGO;TECNOLOGICO PREUNIVERSITARIO;3 CALLE 7-54 ZONA 3;78394519;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;EDNA YESENIA GONZÁLEZ ROCA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);CHIMALTENANGO
04-01-0059-46;04-028;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO TECNICO INDUSTRIAL;9A. CALLE DE LOS CLAVELES 3-76 ZONA 1, QUINTAS LOS APOSENTOS;78396913;MARILENA HERNANDEZ CABRERA;ASUNCIÓN BOLIVIA MATZER CUXIL DE CANÁ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);CHIMALTENANGO
04-01-0061-46;04-020;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO TECNOLOGICO CHIMALTECO;8A. CALLE Y 6A. AVENIDA 5-20 ZONA 1 QUINTAS LOS APOSENTOS;78391288-78392217;SANDRA NINETH LOPEZ GUTIERREZ;DOMINGO JIATZ SOLAN;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;DIARIO(REGULAR);CHIMALTENANGO
04-01-0062-46;04-001;CHIMALTENANGO;CHIMALTENANGO;ESCUELA NACIONAL DE CIENCIAS COMERCIALES 'LEONIDAS MENCOS AVILA';1A. CALLE 9-30 ZONA 3;78396809;SANDRA PATRICIA IMERI AZURDIA DE ZAMORA;MARCO ANTONIO MONTERROSO;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO
